Title,Year,RunTime,Rating,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
Fargo,1996,98,8.1,654107,24.61,"Joel Coen,  Ethan Coen", William H. Macy,  Frances McDormand,  Steve Buscemi,  Peter Stormare
Rush,2013,123,8.1,461062,26.95,Ron Howard, Daniel Brühl,  Chris Hemsworth,  Olivia Wilde,  Alexandra Maria Lara
2001: A Space Odyssey,1968,149,8.3,641401,56.95,Stanley Kubrick, Keir Dullea,  Gary Lockwood,  William Sylvester,  Daniel Richter
Interstellar,2014,169,8.6,1675466,188.02,Christopher Nolan, Matthew McConaughey,  Anne Hathaway,  Jessica Chastain,  Mackenzie Foy
A Separation,2011,123,8.3,235854,7.1,Asghar Farhadi, Payman Maadi,  Leila Hatami,  Sareh Bayat,  Shahab Hosseini
Jai Bhim,2021,164,9.3,169008,,T.J. Gnanavel, Suriya,  Lijo Mol Jose,  Manikandan,  Rajisha Vijayan
Inside Out,2015,95,8.1,670945,356.46,"Pete Docter,  Ronnie Del Carmen", Amy Poehler,  Bill Hader,  Lewis Black,  Mindy Kaling
Network,1976,121,8.1,154453,,Sidney Lumet, Faye Dunaway,  William Holden,  Peter Finch,  Robert Duvall
To Be or Not to Be,1942,99,8.2,34987,,Ernst Lubitsch, Carole Lombard,  Jack Benny,  Robert Stack,  Felix Bressart
Dersu Uzala,1975,142,8.3,26884,,Akira Kurosawa, Maksim Munzuk,  Yuriy Solomin,  Mikhail Bychkov,  Vladimir Khrulyov
Toy Story 3,2010,103,8.2,799945,415.0,Lee Unkrich, Tom Hanks,  Tim Allen,  Joan Cusack,  Ned Beatty
Warrior,2011,140,8.1,456302,13.66,Gavin O'Connor, Tom Hardy,  Nick Nolte,  Joel Edgerton,  Jennifer Morrison
Downfall,2004,156,8.2,345949,5.51,Oliver Hirschbiegel, Bruno Ganz,  Alexandra Maria Lara,  Ulrich Matthes,  Juliane Köhler
Before Sunset,2004,80,8.1,252593,5.82,Richard Linklater, Ethan Hawke,  Julie Delpy,  Vernon Dobtcheff,  Louise Lemoine Torrès
Amélie,2001,122,8.3,734121,33.23,Jean-Pierre Jeunet, Audrey Tautou,  Mathieu Kassovitz,  Rufus,  Lorella Cravotta
In the Name of the Father,1993,133,8.1,168658,25.01,Jim Sheridan, Daniel Day-Lewis,  Pete Postlethwaite,  Alison Crosbie,  Philip King
1917,2019,119,8.3,524911,159.23,Sam Mendes, Dean-Charles Chapman,  George MacKay,  Daniel Mays,  Colin Firth
Apocalypse Now,1979,147,8.4,641053,83.47,Francis Ford Coppola, Martin Sheen,  Marlon Brando,  Robert Duvall,  Frederic Forrest
Singin' in the Rain,1952,103,8.3,233162,8.82,"Stanley Donen,  Gene Kelly", Gene Kelly,  Donald O'Connor,  Debbie Reynolds,  Jean Hagen
Mr. Smith Goes to Washington,1939,129,8.1,112987,9.6,Frank Capra, James Stewart,  Jean Arthur,  Claude Rains,  Edward Arnold
Klaus,2019,96,8.2,136683,,"Sergio Pablos,  Carlos Martínez López", Jason Schwartzman,  J.K. Simmons,  Rashida Jones,  Will Sasso
Up,2009,96,8.2,995135,293.0,"Pete Docter,  Bob Peterson", Ed Asner,  Jordan Nagai,  John Ratzenberger,  Christopher Plummer
The Grand Budapest Hotel,2014,99,8.1,764748,59.1,Wes Anderson, Ralph Fiennes,  F. Murray Abraham,  Mathieu Amalric,  Adrien Brody
The Kid,1921,68,8.3,122477,5.45,Charles Chaplin, Charles Chaplin,  Edna Purviance,  Jackie Coogan,  Carl Miller
Persona,1966,83,8.1,113212,,Ingmar Bergman, Bibi Andersson,  Liv Ullmann,  Margaretha Krook,  Gunnar Björnstrand
The Departed,2006,151,8.5,1264343,132.38,Martin Scorsese, Leonardo DiCaprio,  Matt Damon,  Jack Nicholson,  Mark Wahlberg
The Matrix,1999,136,8.7,1824808,171.48,"Lana Wachowski,  Lilly Wachowski", Keanu Reeves,  Laurence Fishburne,  Carrie-Anne Moss,  Hugo Weaving
Se7en,1995,127,8.6,1552226,100.13,David Fincher, Morgan Freeman,  Brad Pitt,  Kevin Spacey,  Andrew Kevin Walker
Avengers: Endgame,2019,181,8.4,998598,858.37,"Anthony Russo,  Joe Russo", Robert Downey Jr.,  Chris Evans,  Mark Ruffalo,  Chris Hemsworth
Hamilton,2020,160,8.4,81100,,Thomas Kail, Lin-Manuel Miranda,  Phillipa Soo,  Leslie Odom Jr.,  Renée Elise Goldsberry
Joker,2019,122,8.4,1130322,335.45,Todd Phillips, Joaquin Phoenix,  Robert De Niro,  Zazie Beetz,  Frances Conroy
Gone with the Wind,1939,238,8.1,305777,198.68,"Victor Fleming,  George Cukor,  Sam Wood", Clark Gable,  Vivien Leigh,  Thomas Mitchell,  Barbara O'Neil
Stalker,1979,162,8.1,129182,0.23,Andrei Tarkovsky, Alisa Freyndlikh,  Aleksandr Kaydanovskiy,  Anatoliy Solonitsyn,  Nikolay Grinko
The Bridge on the River Kwai,1957,161,8.1,214280,44.91,David Lean, William Holden,  Alec Guinness,  Jack Hawkins,  Sessue Hayakawa
Tokyo Story,1953,136,8.2,59073,,Yasujirô Ozu, Chishû Ryû,  Chieko Higashiyama,  Sô Yamamura,  Setsuko Hara
In the Mood for Love,2000,98,8.1,141277,2.73,Kar-Wai Wong, Tony Chiu-Wai Leung,  Maggie Cheung,  Siu Ping-Lam,  Tung Cho 'Joe' Cheung
The Godfather,1972,175,9.2,1741574,134.97,Francis Ford Coppola, Marlon Brando,  Al Pacino,  James Caan,  Diane Keaton
12 Angry Men,1957,96,9.0,747360,4.36,Sidney Lumet, Henry Fonda,  Lee J. Cobb,  Martin Balsam,  John Fiedler
Fight Club,1999,139,8.8,1989521,37.03,David Fincher, Brad Pitt,  Edward Norton,  Meat Loaf,  Zach Grenier
The Sting,1973,129,8.3,254061,159.6,George Roy Hill, Paul Newman,  Robert Redford,  Robert Shaw,  Charles Durning
Princess Mononoke,1997,134,8.4,373654,2.38,Hayao Miyazaki, Yôji Matsuda,  Yuriko Ishida,  Yûko Tanaka,  Billy Crudup
The Shawshank Redemption,1994,142,9.3,2529673,28.34,Frank Darabont, Tim Robbins,  Morgan Freeman,  Bob Gunton,  William Sadler
The Wolf of Wall Street,2013,180,8.2,1304648,116.9,Martin Scorsese, Leonardo DiCaprio,  Jonah Hill,  Margot Robbie,  Matthew McConaughey
Full Metal Jacket,1987,116,8.3,712907,46.36,Stanley Kubrick, Matthew Modine,  R. Lee Ermey,  Vincent D'Onofrio,  Adam Baldwin
Braveheart,1995,178,8.3,1003006,75.6,Mel Gibson, Mel Gibson,  Sophie Marceau,  Patrick McGoohan,  Angus Macfadyen
Reservoir Dogs,1992,99,8.3,974876,2.83,Quentin Tarantino, Harvey Keitel,  Tim Roth,  Michael Madsen,  Chris Penn
Memories of Murder,2003,132,8.1,166156,0.01,Bong Joon Ho, Kang-ho Song,  Kim Sang-kyung,  Roe-ha Kim,  Jae-ho Song
My Neighbor Totoro,1988,86,8.2,319415,1.11,Hayao Miyazaki, Hitoshi Takagi,  Noriko Hidaka,  Chika Sakamoto,  Shigesato Itoi
Aliens,1986,137,8.3,690005,85.16,James Cameron, Sigourney Weaver,  Michael Biehn,  Carrie Henn,  Paul Reiser
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,1228288,290.48,Irvin Kershner, Mark Hamill,  Harrison Ford,  Carrie Fisher,  Billy Dee Williams
American History X,1998,119,8.5,1082415,6.72,Tony Kaye, Edward Norton,  Edward Furlong,  Beverly D'Angelo,  Jennifer Lien
Seven Samurai,1954,207,8.6,334350,0.27,Akira Kurosawa, Toshirô Mifune,  Takashi Shimura,  Keiko Tsushima,  Yukiko Shimazaki
Pather Panchali,1955,125,8.4,30158,0.54,Satyajit Ray, Kanu Bannerjee,  Karuna Bannerjee,  Subir Banerjee,  Chunibala Devi
Yojimbo,1961,110,8.2,119132,,Akira Kurosawa, Toshirô Mifune,  Eijirô Tôno,  Tatsuya Nakadai,  Yôko Tsukasa
The Lord of the Rings: The Two Towers,2002,179,8.7,1577274,342.55,Peter Jackson, Elijah Wood,  Ian McKellen,  Viggo Mortensen,  Orlando Bloom
The Father,2020,97,8.3,118928,,Florian Zeller, Anthony Hopkins,  Olivia Colman,  Mark Gatiss,  Olivia Williams
Coco,2017,105,8.4,455615,209.73,"Lee Unkrich,  Adrian Molina", Anthony Gonzalez,  Gael García Bernal,  Benjamin Bratt,  Alanna Ubach
No Country for Old Men,2007,122,8.1,922299,74.28,"Ethan Coen,  Joel Coen", Tommy Lee Jones,  Javier Bardem,  Josh Brolin,  Woody Harrelson
Casino,1995,178,8.2,497362,42.44,Martin Scorsese, Robert De Niro,  Sharon Stone,  Joe Pesci,  James Woods
A Clockwork Orange,1971,136,8.3,798504,6.21,Stanley Kubrick, Malcolm McDowell,  Patrick Magee,  Michael Bates,  Warren Clarke
Kill Bill: Vol. 1,2003,111,8.1,1066105,70.1,Quentin Tarantino, Uma Thurman,  David Carradine,  Daryl Hannah,  Michael Madsen
Casablanca,1942,102,8.5,551575,1.02,Michael Curtiz, Humphrey Bogart,  Ingrid Bergman,  Paul Henreid,  Claude Rains
Monty Python and the Holy Grail,1975,91,8.2,525003,1.23,"Terry Gilliam,  Terry Jones", Graham Chapman,  John Cleese,  Eric Idle,  Terry Gilliam
Vertigo,1958,128,8.3,388879,3.2,Alfred Hitchcock, James Stewart,  Kim Novak,  Barbara Bel Geddes,  Tom Helmore
WALL·E,2008,98,8.4,1063502,223.81,Andrew Stanton, Ben Burtt,  Elissa Knight,  Jeff Garlin,  Fred Willard
Django Unchained,2012,165,8.4,1462510,162.81,Quentin Tarantino, Jamie Foxx,  Christoph Waltz,  Leonardo DiCaprio,  Kerry Washington
The Third Man,1949,93,8.1,167535,0.45,Carol Reed, Orson Welles,  Joseph Cotten,  Alida Valli,  Trevor Howard
Taxi Driver,1976,114,8.2,778695,28.26,Martin Scorsese, Robert De Niro,  Jodie Foster,  Cybill Shepherd,  Albert Brooks
Like Stars on Earth,2007,165,8.4,184575,1.22,"Aamir Khan,  Amole Gupte", Darsheel Safary,  Aamir Khan,  Tisca Chopra,  Vipin Sharma
The Great Dictator,1940,125,8.4,216793,0.29,Charles Chaplin, Charles Chaplin,  Paulette Goddard,  Jack Oakie,  Reginald Gardiner
Double Indemnity,1944,107,8.3,152184,5.72,Billy Wilder, Fred MacMurray,  Barbara Stanwyck,  Edward G. Robinson,  Byron Barr
Dangal,2016,161,8.4,176888,12.39,Nitesh Tiwari, Aamir Khan,  Sakshi Tanwar,  Fatima Sana Shaikh,  Sanya Malhotra
L.A. Confidential,1997,138,8.2,562649,64.62,Curtis Hanson, Kevin Spacey,  Russell Crowe,  Guy Pearce,  Kim Basinger
Dead Poets Society,1989,128,8.1,460589,95.86,Peter Weir, Robin Williams,  Robert Sean Leonard,  Ethan Hawke,  Josh Charles
Modern Times,1936,87,8.5,233089,0.16,Charles Chaplin, Charles Chaplin,  Paulette Goddard,  Henry Bergman,  Tiny Sandford
On the Waterfront,1954,108,8.1,150611,9.6,Elia Kazan, Marlon Brando,  Karl Malden,  Lee J. Cobb,  Rod Steiger
Sunset Blvd.,1950,110,8.4,214527,,Billy Wilder, William Holden,  Gloria Swanson,  Erich von Stroheim,  Nancy Olson
Andhadhun,2018,139,8.2,86517,1.37,Sriram Raghavan, Ayushmann Khurrana,  Tabu,  Radhika Apte,  Anil Dhawan
Judgment at Nuremberg,1961,179,8.2,74944,,Stanley Kramer, Spencer Tracy,  Burt Lancaster,  Richard Widmark,  Marlene Dietrich
Rebecca,1940,130,8.1,133114,4.36,Alfred Hitchcock, Laurence Olivier,  Joan Fontaine,  George Sanders,  Judith Anderson
Children of Heaven,1997,89,8.3,71909,0.93,Majid Majidi, Mohammad Amir Naji,  Amir Farrokh Hashemian,  Bahare Seddiqi,  Nafise Jafar-Mohammadi
Barry Lyndon,1975,185,8.1,161324,,Stanley Kubrick, Ryan O'Neal,  Marisa Berenson,  Patrick Magee,  Hardy Krüger
The Pianist,2002,150,8.5,788499,32.57,Roman Polanski, Adrien Brody,  Thomas Kretschmann,  Frank Finlay,  Emilia Fox
The Sixth Sense,1999,107,8.1,955612,293.51,M. Night Shyamalan, Bruce Willis,  Haley Joel Osment,  Toni Collette,  Olivia Williams
Inglourious Basterds,2009,153,8.3,1364769,120.54,Quentin Tarantino, Brad Pitt,  Diane Kruger,  Eli Roth,  Mélanie Laurent
Neon Genesis Evangelion: The End of Evangelion,1997,87,8.1,49868,,"Hideaki Anno,  Kazuya Tsurumaki", Megumi Ogata,  Megumi Hayashibara,  Yûko Miyamura,  Kotono Mitsuishi
North by Northwest,1959,136,8.3,317375,13.28,Alfred Hitchcock, Cary Grant,  Eva Marie Saint,  James Mason,  Jessie Royce Landis
Once Upon a Time in the West,1968,165,8.5,319206,5.32,Sergio Leone, Henry Fonda,  Charles Bronson,  Claudia Cardinale,  Jason Robards
Come and See,1985,142,8.3,71332,,Elem Klimov, Aleksey Kravchenko,  Olga Mironova,  Liubomiras Laucevicius,  Vladas Bagdonas
The Battle of Algiers,1966,121,8.1,57995,0.06,Gillo Pontecorvo, Brahim Hadjadj,  Jean Martin,  Yacef Saadi,  Samia Kerbash
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,1004124,309.13,Richard Marquand, Mark Hamill,  Harrison Ford,  Carrie Fisher,  Billy Dee Williams
Autumn Sonata,1978,99,8.2,32739,,Ingmar Bergman, Ingrid Bergman,  Liv Ullmann,  Lena Nyman,  Halvar Björk
Léon: The Professional,1994,110,8.5,1105424,19.5,Luc Besson, Jean Reno,  Gary Oldman,  Natalie Portman,  Danny Aiello
The Gold Rush,1925,95,8.2,108091,5.45,Charles Chaplin, Charles Chaplin,  Mack Swain,  Tom Murray,  Henry Bergman
The Godfather: Part II,1974,202,9.0,1208326,57.3,Francis Ford Coppola, Al Pacino,  Robert De Niro,  Robert Duvall,  Diane Keaton
Andrei Rublev,1966,205,8.1,52008,0.1,Andrei Tarkovsky, Anatoliy Solonitsyn,  Ivan Lapikov,  Nikolay Grinko,  Nikolay Sergeev
Howl's Moving Castle,2004,119,8.2,368562,4.71,Hayao Miyazaki, Chieko Baishô,  Takuya Kimura,  Tatsuya Gashûin,  Akihiro Miwa
Heat,1995,170,8.2,621969,67.44,Michael Mann, Al Pacino,  Robert De Niro,  Val Kilmer,  Jon Voight
Metropolis,1927,153,8.3,169332,1.24,Fritz Lang, Brigitte Helm,  Alfred Abel,  Gustav Fröhlich,  Rudolf Klein-Rogge
The Lord of the Rings: The Return of the King,2003,201,8.9,1745769,377.85,Peter Jackson, Elijah Wood,  Viggo Mortensen,  Ian McKellen,  Orlando Bloom
Batman Begins,2005,140,8.2,1386216,206.85,Christopher Nolan, Christian Bale,  Michael Caine,  Ken Watanabe,  Liam Neeson
Once Upon a Time in America,1984,229,8.3,336687,5.32,Sergio Leone, Robert De Niro,  James Woods,  Elizabeth McGovern,  Treat Williams
The Passion of Joan of Arc,1928,114,8.1,52496,0.02,Carl Theodor Dreyer, Maria Falconetti,  Eugene Silvain,  André Berley,  Maurice Schutz
Witness for the Prosecution,1957,116,8.4,119581,8.18,Billy Wilder, Tyrone Power,  Marlene Dietrich,  Charles Laughton,  Elsa Lanchester
Lawrence of Arabia,1962,228,8.3,284065,44.82,David Lean, Peter O'Toole,  Alec Guinness,  Anthony Quinn,  Jack Hawkins
Oldboy,2003,120,8.4,552161,0.71,Park Chan-wook, Choi Min-sik,  Yoo Ji-Tae,  Kang Hye-jeong,  Kim Byeong-Ok
The Dark Knight Rises,2012,164,8.4,1609834,448.14,Christopher Nolan, Christian Bale,  Tom Hardy,  Anne Hathaway,  Gary Oldman
Green Book,2018,130,8.2,445652,85.08,Peter Farrelly, Viggo Mortensen,  Mahershala Ali,  Linda Cardellini,  Sebastian Maniscalco
Gladiator,2000,155,8.5,1428299,187.71,Ridley Scott, Russell Crowe,  Joaquin Phoenix,  Connie Nielsen,  Oliver Reed
Paths of Glory,1957,88,8.4,190322,,Stanley Kubrick, Kirk Douglas,  Ralph Meeker,  Adolphe Menjou,  George Macready
Rocky,1976,120,8.1,550181,117.24,John G. Avildsen, Sylvester Stallone,  Talia Shire,  Burt Young,  Carl Weathers
Incendies,2010,131,8.3,167811,6.86,Denis Villeneuve, Lubna Azabal,  Mélissa Désormeaux-Poulin,  Maxim Gaudette,  Mustafa Kamel
Nausicaä of the Valley of the Wind,1984,117,8.1,163458,0.5,Hayao Miyazaki, Sumi Shimamoto,  Mahito Tsujimura,  Hisako Kyôda,  Gorô Naya
Chinatown,1974,130,8.2,314573,8.49,Roman Polanski, Jack Nicholson,  Faye Dunaway,  John Huston,  Perry Lopez
Unforgiven,1992,130,8.2,398176,101.16,Clint Eastwood, Clint Eastwood,  Gene Hackman,  Morgan Freeman,  Richard Harris
Rashomon,1950,88,8.2,162857,0.1,Akira Kurosawa, Toshirô Mifune,  Machiko Kyô,  Masayuki Mori,  Takashi Shimura
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,1767034,315.54,Peter Jackson, Elijah Wood,  Ian McKellen,  Orlando Bloom,  Sean Bean
The Hunt,2012,115,8.3,312075,0.69,Thomas Vinterberg, Mads Mikkelsen,  Thomas Bo Larsen,  Annika Wedderkopp,  Lasse Fogelstrøm
Spider-Man: No Way Home,2021,148,8.7,401937,,Jon Watts, Tom Holland,  Zendaya,  Benedict Cumberbatch,  Jacob Batalon
La Haine,1995,98,8.1,164216,0.31,Mathieu Kassovitz, Vincent Cassel,  Hubert Koundé,  Saïd Taghmaoui,  Abdel Ahmed Ghili
Raging Bull,1980,129,8.2,340903,23.38,Martin Scorsese, Robert De Niro,  Cathy Moriarty,  Joe Pesci,  Frank Vincent
Shutter Island,2010,138,8.2,1228632,128.01,Martin Scorsese, Leonardo DiCaprio,  Emily Mortimer,  Mark Ruffalo,  Ben Kingsley
Terminator 2: Judgment Day,1991,137,8.5,1051684,204.84,James Cameron, Arnold Schwarzenegger,  Linda Hamilton,  Edward Furlong,  Robert Patrick
Star Wars: Episode IV - A New Hope,1977,121,8.6,1299781,322.74,George Lucas, Mark Hamill,  Harrison Ford,  Carrie Fisher,  Alec Guinness
